id,txt
A0A024RBG1,NUDT4B (NUD4B) | A0A024RBG1
A0A075B6H7,IGKV3-7 (KV37) | A0A075B6H7
A0A075B6H8,IGKV1D-42 (KVD42) | A0A075B6H8
A0A075B6H9,IGLV4-69 (LV469) | A0A075B6H9
A0A075B6I0,IGLV8-61 (LV861) | A0A075B6I0
A0A075B6I1,IGLV4-60 (LV460) | A0A075B6I1
A0A075B6I3,IGLV11-55 (LVK55) | A0A075B6I3
A0A075B6I4,IGLV10-54 (LVX54) | A0A075B6I4
A0A075B6I6,IGLV1-50 (LV150) | A0A075B6I6
A0A075B6I7,IGLV5-48 (LV548) | A0A075B6I7
A0A075B6I9,IGLV7-46 (LV746) | A0A075B6I9
A0A075B6J1,IGLV5-37 (LV537) | A0A075B6J1
A0A075B6J2,IGLV2-33 (LV233) | A0A075B6J2
A0A075B6J6,IGLV3-22 (LV322) | A0A075B6J6
A0A075B6J9,IGLV2-18 (LV218) | A0A075B6J9
A0A075B6K0,IGLV3-16 (LV316) | A0A075B6K0
A0A075B6K2,IGLV3-12 (LV312) | A0A075B6K2
A0A075B6K4,IGLV3-10 (LV310) | A0A075B6K4
A0A075B6K5,IGLV3-9 (LV39) | A0A075B6K5
A0A075B6K6,IGLV4-3 (LV403) | A0A075B6K6
A0A075B6L2,TRGV11 (TVG11) | A0A075B6L2
A0A075B6L6,TRBV7-3 (TVB73) | A0A075B6L6
A0A075B6N1,TRBV19 (TVB19) | A0A075B6N1
A0A075B6N2,TRBV20-1 (TVBT1) | A0A075B6N2
A0A075B6N3,TRBV24-1 (TVBX1) | A0A075B6N3
A0A075B6N4,TRBV25-1 (TVBY1) | A0A075B6N4
A0A075B6P5,IGKV2-28 (KV228) | A0A075B6P5
A0A075B6Q5,IGHV3-64 (HV364) | A0A075B6Q5
A0A075B6R0,TRGV2 (TRGV2) | A0A075B6R0
A0A075B6R2,IGHV4-4 (HV404) | A0A075B6R2
A0A075B6R9,IGKV2D-24 (KVD24) | A0A075B6R9
A0A075B6S0,TRGJ1 (TRGJ1) | A0A075B6S0
A0A075B6S2,IGKV2D-29 (KVD29) | A0A075B6S2
A0A075B6S4,IGKV1D-17 (KVD17) | A0A075B6S4
A0A075B6S5,IGKV1-27 (KV127) | A0A075B6S5
A0A075B6S6,IGKV2D-30 (KVD30) | A0A075B6S6
A0A075B6S9,IGKV1-37 (KV137) | A0A075B6S9
A0A075B6T6,TRAV12-2 (TVAL2) | A0A075B6T6
A0A075B6T7,TRAV6 (TVA6) | A0A075B6T7
A0A075B6T8,TRAV9-1 (TVA91) | A0A075B6T8
A0A075B6U4,TRAV7 (TVA7) | A0A075B6U4
A0A075B6V5,TRAV36DV7 (TVA36) | A0A075B6V5
A0A075B6W5,TRAV23DV6 (TVA23) | A0A075B6W5
A0A075B6X5,TRAV18 (TVA18) | A0A075B6X5
A0A075B6Y3,TRAJ3 (TJA3) | A0A075B6Y3
A0A075B6Y9,TRAJ42 (TJA42) | A0A075B6Y9
A0A075B700,TRAJ31 (TJA31) | A0A075B700
A0A075B706,TRDJ1 (TRDJ1) | A0A075B706
A0A075B759,PPIAL4E (PAL4E) | A0A075B759
A0A075B767,PPIAL4H (PAL4H) | A0A075B767
A0A087WSX0,IGLV5-45 (LV545) | A0A087WSX0
A0A087WSY4,IGHV4-30-2 (HV432) | A0A087WSY4
A0A087WSY6,IGKV3D-15 (KVD15) | A0A087WSY6
A0A087WSZ0,IGKV1D-8 (KVD08) | A0A087WSZ0
A0A087WSZ9,TRAV30 (TVA30) | A0A087WSZ9
A0A087WT01,TRAV27 (TVA27) | A0A087WT01
A0A087WT02,TRAV9-2 (TVA92) | A0A087WT02
A0A087WT03,TRAV26-1 (TVAZ1) | A0A087WT03
A0A087WTH1,TMEM265 (TM265) | A0A087WTH1
A0A087WTH5,KCNE1B (KCE1B) | A0A087WTH5
A0A087WUL8,  (NBPFJ) | A0A087WUL8
A0A087WV53,SPEGNB (SPEGN) | A0A087WV53
A0A087WV62,TRBV16 (TVB16) | A0A087WV62
A0A087WVF3,TBC1D3D (TBC3D) | A0A087WVF3
