A0A087X1C5	CP2D7_HUMAN	CYP2D7
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1
A0A0B4J2F2	SIK1B_HUMAN	SIK1B
A0A0C5B5G6	MOTSC_HUMAN	MT-RNR1
A0A0K2S4Q6	CD3CH_HUMAN	CD300H
A0A0U1RRE5	NBDY_HUMAN	NBDY
A0A1B0GTW7	CIROP_HUMAN	CIROP
A0A5B9	TRBC2_HUMAN	TRBC2
A0AV02	S12A8_HUMAN	SLC12A8
A0AV96	RBM47_HUMAN	RBM47
A0AVF1	IFT56_HUMAN	IFT56
A0AVI4	TM129_HUMAN	TMEM129
A0AVK6	E2F8_HUMAN	E2F8
A0AVT1	UBA6_HUMAN	UBA6
A0FGR8	ESYT2_HUMAN	ESYT2
A0FGR9	ESYT3_HUMAN	ESYT3
A0JLT2	MED19_HUMAN	MED19
A0JNW5	BLT3B_HUMAN	BLTP3B
A0JP26	POTB3_HUMAN	POTEB3
A0M8Q6	IGLC7_HUMAN	IGLC7
A0MZ66	SHOT1_HUMAN	SHTN1
A0PJK1	SC5AA_HUMAN	SLC5A10
A0PJY2	FEZF1_HUMAN	FEZF1
A0PK00	T120B_HUMAN	TMEM120B
A0PK11	CLRN2_HUMAN	CLRN2
A1A4S6	RHG10_HUMAN	ARHGAP10
A1A4Y4	IRGM_HUMAN	IRGM
A1A519	F170A_HUMAN	FAM170A
A1A5B4	ANO9_HUMAN	ANO9
A1A5C7	S22AN_HUMAN	SLC22A23
A1E959	ODAM_HUMAN	ODAM
A1KXE4	F168B_HUMAN	FAM168B
A1KZ92	PXDNL_HUMAN	PXDNL
A1L0T0	HACL2_HUMAN	ILVBL
A1L167	U2QL1_HUMAN	UBE2QL1
A1L190	SYCE3_HUMAN	SYCE3
A1L390	PKHG3_HUMAN	PLEKHG3
A1L3X0	ELOV7_HUMAN	ELOVL7
A1L4H1	SRCRL_HUMAN	SSC5D
A1L4K1	FSD2_HUMAN	FSD2
A1X283	SPD2B_HUMAN	SH3PXD2B
A1XBS5	CBAR1_HUMAN	CIBAR1
